space,algorithm,config,n_components,n_neighbors,min_cluster_size,min_samples,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,ari_vs_zhicheng_shared,is_zhicheng_shared
umap5,hdbscan,nn30_hdbscan_mcs12_ms8,5,30,12,8,3,13,0.028446389496717725,0.9715536105032823,13,414,0.006746167317032814,0.020803566123434928,False
umap5,hdbscan,nn30_hdbscan_mcs12_ms10,5,30,12,10,3,13,0.028446389496717725,0.9715536105032823,13,414,0.006746167317032814,0.020803566123434928,False
umap5,hdbscan,nn30_hdbscan_mcs15_ms1,5,30,15,1,2,24,0.0525164113785558,0.9474835886214442,17,416,0.0616464801132679,0.021779661820225144,False
umap5,hdbscan,nn30_hdbscan_mcs15_ms3,5,30,15,3,2,24,0.0525164113785558,0.9474835886214442,17,416,0.0616464801132679,0.021779661820225144,False
umap5,hdbscan,nn30_hdbscan_mcs15_ms5,5,30,15,5,2,24,0.0525164113785558,0.9474835886214442,18,415,0.06247766688466072,0.021153547071613668,False
umap5,hdbscan,nn30_hdbscan_mcs15_ms8,5,30,15,8,2,26,0.05689277899343545,0.9431072210065645,17,414,0.062193579971790314,0.020546297070747722,False
umap5,hdbscan,nn30_hdbscan_mcs15_ms10,5,30,15,10,2,26,0.05689277899343545,0.9431072210065645,17,414,0.062193579971790314,0.020546297070747722,False
umap5,hdbscan,nn30_hdbscan_mcs20_ms1,5,30,20,1,5,142,0.31072210065645517,0.6892778993435449,37,122,0.04670209810137749,0.23140504519992336,False
umap5,hdbscan,nn30_hdbscan_mcs20_ms3,5,30,20,3,5,156,0.3413566739606127,0.6586433260393874,35,116,0.05110498145222664,0.2138640363025789,False
umap5,hdbscan,nn30_hdbscan_mcs20_ms5,5,30,20,5,4,194,0.424507658643326,0.5754923413566739,30,105,0.07028955221176147,0.1470148077470057,False
umap5,hdbscan,nn30_hdbscan_mcs20_ms8,5,30,20,8,3,200,0.437636761487965,0.562363238512035,45,123,0.11933368444442749,0.13406319085248783,False
umap5,hdbscan,nn30_hdbscan_mcs20_ms10,5,30,20,10,2,124,0.2713347921225383,0.7286652078774617,42,291,0.08694374561309814,0.059354403428242296,False
umap10,hdbscan,nn5_hdbscan_mcs5_ms1,10,5,5,1,36,37,0.08096280087527352,0.9190371991247265,5,36,0.03204473480582237,0.47817358022508627,False
umap10,hdbscan,nn5_hdbscan_mcs5_ms3,10,5,5,3,28,31,0.06783369803063458,0.9321663019693655,5,59,0.04890035465359688,0.4691273480801657,False
umap10,hdbscan,nn5_hdbscan_mcs5_ms5,10,5,5,5,25,68,0.1487964989059081,0.8512035010940919,5,32,0.06994237005710602,0.44566835874730404,False
umap10,hdbscan,nn5_hdbscan_mcs8_ms1,10,5,8,1,21,31,0.06783369803063458,0.9321663019693655,10,59,0.049372412264347076,0.48464809305903533,False
umap10,hdbscan,nn5_hdbscan_mcs8_ms3,10,5,8,3,21,40,0.087527352297593,0.912472647702407,10,59,0.05226293206214905,0.4736243148147805,False
umap10,hdbscan,nn5_hdbscan_mcs8_ms5,10,5,8,5,21,63,0.13785557986870897,0.862144420131291,10,59,0.06205245479941368,0.44319026619655466,False
umap10,hdbscan,nn5_hdbscan_mcs8_ms8,10,5,8,8,20,66,0.14442013129102846,0.8555798687089715,9,55,0.06218380108475685,0.47932282384304836,False
umap10,hdbscan,nn5_hdbscan_mcs10_ms1,10,5,10,1,21,31,0.06783369803063458,0.9321663019693655,10,59,0.049372412264347076,0.48464809305903533,False
umap10,hdbscan,nn5_hdbscan_mcs10_ms3,10,5,10,3,21,40,0.087527352297593,0.912472647702407,10,59,0.05226293206214905,0.4736243148147805,False
umap10,hdbscan,nn5_hdbscan_mcs10_ms5,10,5,10,5,20,55,0.12035010940919037,0.8796498905908097,10,59,0.06289783120155334,0.49849402913780044,False
umap10,hdbscan,nn5_hdbscan_mcs10_ms8,10,5,10,8,19,64,0.1400437636761488,0.8599562363238512,10,55,0.05714283138513565,0.4821964567365687,False
