space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
umap5,dbscan_eps0.220710_ms5,dbscan,22,238,0.5207877461706784,0.47921225382932164,4,20,0.15944483876228333,0.22071,5.0,,False
umap5,dbscan_eps0.229189_ms5,dbscan,21,227,0.49671772428884026,0.5032822757111597,4,23,0.15562060475349426,0.229189,5.0,,False
umap5,dbscan_eps0.238333_ms5,dbscan,21,214,0.4682713347921225,0.5317286652078774,5,23,0.1469951719045639,0.238333,5.0,,False
umap5,dbscan_eps0.243102_ms5,dbscan,23,196,0.4288840262582057,0.5711159737417943,5,34,0.15119563043117523,0.243102,5.0,,False
umap5,dbscan_eps0.247988_ms5,dbscan,22,183,0.40043763676148797,0.5995623632385121,5,46,0.13913887739181519,0.247988,5.0,,False
umap5,dbscan_eps0.254083_ms5,dbscan,24,167,0.36542669584245074,0.6345733041575492,5,46,0.12702877819538116,0.254083,5.0,,False
umap5,dbscan_eps0.260991_ms5,dbscan,25,148,0.3238512035010941,0.6761487964989059,5,47,0.12119608372449875,0.260991,5.0,,False
umap5,dbscan_eps0.270193_ms5,dbscan,25,141,0.3085339168490153,0.6914660831509847,5,49,0.11897775530815125,0.270193,5.0,,False
umap5,dbscan_eps0.273714_ms5,dbscan,25,138,0.30196936542669583,0.6980306345733042,5,50,0.11609568446874619,0.273714,5.0,,False
umap5,dbscan_eps0.279146_ms5,dbscan,25,130,0.2844638949671772,0.7155361050328227,5,50,0.11238408088684082,0.279146,5.0,,False
umap5,dbscan_eps0.288225_ms5,dbscan,25,121,0.2647702407002188,0.7352297592997812,5,51,0.10791687667369843,0.288225,5.0,,False
umap5,dbscan_eps0.296679_ms5,dbscan,25,107,0.23413566739606126,0.7658643326039387,5,51,0.08764196187257767,0.296679,5.0,,False
umap5,dbscan_eps0.304561_ms5,dbscan,25,100,0.2188183807439825,0.7811816192560175,5,51,0.08512541651725769,0.304561,5.0,,False
umap5,dbscan_eps0.315226_ms5,dbscan,23,87,0.19037199124726478,0.8096280087527352,5,52,0.07412148267030716,0.315226,5.0,,False
umap5,dbscan_eps0.327955_ms5,dbscan,22,77,0.16849015317286653,0.8315098468271335,5,71,0.06406162679195404,0.327955,5.0,,False
umap5,dbscan_eps0.334190_ms5,dbscan,20,70,0.15317286652078774,0.8468271334792122,5,87,0.051110319793224335,0.33419,5.0,,False
umap5,dbscan_eps0.342151_ms5,dbscan,18,68,0.1487964989059081,0.8512035010940919,5,100,0.033017899841070175,0.342151,5.0,,False
umap5,dbscan_eps0.355737_ms5,dbscan,18,59,0.12910284463894967,0.8708971553610503,5,103,0.02849379926919937,0.355737,5.0,,False
umap5,dbscan_eps0.374762_ms5,dbscan,18,47,0.10284463894967177,0.8971553610503282,5,104,0.01957687735557556,0.374762,5.0,,False
umap5,dbscan_eps0.392364_ms5,dbscan,17,35,0.07658643326039387,0.9234135667396062,4,121,0.006450233981013298,0.392364,5.0,,False
umap5,dbscan_eps0.410918_ms5,dbscan,14,30,0.06564551422319474,0.9343544857768052,4,263,-0.04720769077539444,0.410918,5.0,,False
umap5,dbscan_eps0.422432_ms5,dbscan,12,25,0.05470459518599562,0.9452954048140044,6,275,-0.04344811290502548,0.422432,5.0,,False
umap5,dbscan_eps0.430740_ms5,dbscan,12,19,0.04157549234135667,0.9584245076586433,7,275,-0.04501263052225113,0.43074,5.0,,False
umap5,dbscan_eps0.458063_ms5,dbscan,9,16,0.0350109409190372,0.9649890590809628,8,326,-0.03234203904867172,0.458063,5.0,,False
